nggak:tidak
gak:tidak
enggak:tidak
ga:tidak
pengen:ingin
mau:ingin
gimana:bagaimana
gmn:bagaimana
gini:begini
gitu:begitu
giniin:beginikan
kyk:seperti
kaya:seperti
kayak:seperti
ntar:nanti
yaa:iya
iya:ya
gpp:tidak apa-apa
gakpapa:tidak apa-apa
ngapain:kenapa
trus:terus
sok:pura-pura
dalem:dalam
luar:luar
dalemnya:di dalamnya
emang:memang
jadiin:jadikan
jalanin:jalankan
bales:balas
kalo:kalau
klo:kalau
kapan:kapan
kpn:kapan
mang:memang
nnti:nanti
nntn:nonton
ok:baik
oke:baik
okh:baik
yaudah:ya sudah
yaudh:ya sudah
yodh:ya sudah
tau:tahu
tebelin:tebalkan
trims:terima kasih
thx:terima kasih
thanks:terima kasih
thonks:terima kasih
